	0	1	2	3
0	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COa_1032_240001&category=dirSer	정공지(鄭功志)	1032	G002+AKS-KHF_13C815ACF5C9C0U9999X0
1	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COa_1049_240002&category=dirSer	한복(韓復)	1049	G002+AKS-KHF_12D55CBCF5FFFFU9999X2
2	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COa_1071_240003&category=dirSer	■■■(■■■)	1071	_
3	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COa_1082_240004&category=dirSer	김의원(金義元)	1082	G002+AKS-KHF_13AE40C758C6D0B1066X0
4	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COa_1082_240005&category=dirSer	윤포(尹誧)	1082	G002+AKS-KHF_12C724D3ECFFFFB1063X0
5	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1091_240004&category=dirSer	김신(金藎)	1091	G002+AKS-KHF_12AE40C2E0FFFFU9999X3
6	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1091_240005&category=dirSer	유재(劉載)	1091	G002+AKS-KHF_12C720C7ACFFFFD1118X0
7	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1102_240006&category=dirSer	문공유(文公裕)	1102	G002+AKS-KHF_13BB38ACF5C720B1088X0
8	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1106_240005&category=dirSer	안지충(安之忠)	1106	G002+AKS-KHF_13C548C9C0CDA9U9999X0
9	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1116_240006&category=dirSer	유탄승(兪坦升)	1116	G002+AKS-KHF_13C720D0C4C2B9U9999X0
10	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1117_240007&category=dirSer	왕존(王存)	1117	G002+AKS-KHF_12C655C874FFFFU9999X0
11	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1122_240007&category=dirSer	호진경(胡晉卿)	1122	G002+AKS-KHF_13D638C9C4ACBDB1107X0
12	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240008&category=dirSer	서순(徐淳)	1127	G002+AKS-KHF_12C11CC21CFFFFU9999X0
13	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240009&category=dirSer	한정(韓靖)	1127	G002+AKS-KHF_12D55CC815FFFFU9999X0
14	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240010&category=dirSer	고자사(高子思)	1127	G002+AKS-KHF_13ACE0C790C0ACU9999X0
15	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240011&category=dirSer	허세수(許勢脩)	1127	G002+AKS-KHF_13D5C8C138C218U9999X0
16	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240012&category=dirSer	이당인(李唐仁)	1127	G002+AKS-KHF_13C774B2F9C778U9999X1
17	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240013&category=dirSer	최중거(崔仲居)	1127	G002+AKS-KHF_13CD5CC911AC70U9999X0
18	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240014&category=dirSer	장영경(張令卿)	1127	G002+AKS-KHF_13C7A5C601ACBDU9999X0
19	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240015&category=dirSer	김승온(金承溫)	1127	G002+AKS-KHF_13AE40C2B9C628U9999X0
20	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1127_240016&category=dirSer	진현광(陳玄光)	1127	G002+AKS-KHF_13C9C4D604AD11U9999X0
21	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1139_240008&category=dirSer	임경(林景)	1139	G002+AKS-KHF_12C784ACBDFFFFU9999X1
22	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1140_240009&category=dirSer	한자(韓梓)	1140	G002+AKS-KHF_12D55CC790FFFFU9999X0
23	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1141_240010&category=dirSer	탁광유(卓光裕)	1141	G002+AKS-KHF_13D0C1AD11C720U9999X0
24	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1143_240011&category=dirSer	황보존(皇甫存)	1143	G002+AKS-KHF_13D669BCF4C874U9999X0
25	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1145_240012&category=dirSer	박언유(朴彦猷)	1145	G002+AKS-KHF_13BC15C5B8C720U9999X0
26	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1146_240013&category=dirSer	김대년(金大年)	1146	G002+AKS-KHF_13AE40B300B144B9999X0
27	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1147_230014&category=dirSer	임유공(任裕公)	1147	G002+AKS-KHF_13C784C720ACF5U9999X0
28	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1147_240015&category=dirSer	박수(朴綬)	1147	G002+AKS-KHF_12BC15C218FFFFU9999X1
29	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1148_240016&category=dirSer	양충찬(梁忠贊)	1148	G002+AKS-KHF_13C591CDA9CC2CU9999X0
30	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1148_240017&category=dirSer	박유시(朴有時)	1148	G002+AKS-KHF_13BC15C720C2DCU9999X0
31	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1149_240018&category=dirSer	오광윤(吳光允)	1149	G002+AKS-KHF_13C624AD11C724U9999X0
32	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1149_240019&category=dirSer	조정시(趙挺時)	1149	G002+AKS-KHF_13C870C815C2DCU9999X0
33	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1151_240020&category=dirSer	고영근(高英瑾)	1151	G002+AKS-KHF_13ACE0C601ADFCU9999X1
34	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1151_240021&category=dirSer	하정재(河挺材)	1151	G002+AKS-KHF_13D558C815C7ACU9999X0
35	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1151_240022&category=dirSer	오세재(吳世才)	1151	G002+AKS-KHF_13C624C138C7ACB1133X0
36	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1152_230022&category=dirSer	오세문(吳世文)	1152	G002+AKS-KHF_13C624C138BB38U9999X0
37	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1153_240023&category=dirSer	김세뢰(金世頼)	1153	G002+AKS-KHF_13AE40C138B8B0U9999X0
38	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1153_240024&category=dirSer	이동수(李東粹)	1153	G002+AKS-KHF_13C774B3D9C218U9999X0
39	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1154_240025&category=dirSer	박세남(朴世南)	1154	G002+AKS-KHF_13BC15C138B0A8U9999X0
40	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1154_240026&category=dirSer	김우(金遇)	1154	G002+AKS-KHF_12AE40C6B0FFFFU9999X2
41	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1155_240027&category=dirSer	김단보(金端寶)	1155	G002+AKS-KHF_13AE40B2E8BCF4U9999X0
42	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1155_240028&category=dirSer	황문장(黃文莊)	1155	G002+AKS-KHF_13D669BB38C7A5U9999X0
43	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1155_240101&category=dirSer	유공권(柳公權)	1155	G002+AKS-KHF_13C720ACF5AD8CB1132X0
44	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1157_240029&category=dirSer	이양수(李陽秀)	1157	G002+AKS-KHF_13C774C591C218U9999X0
45	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1158_230030&category=dirSer	윤돈서(尹敦叙)	1158	G002+AKS-KHF_13C724B3C8C11CU9999X0
46	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1159_240031&category=dirSer	■■■(■■■)	1159	_
47	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1161_240032&category=dirSer	고극중(高克中)	1161	G002+AKS-KHF_13ACE0ADF9C911U9999X0
48	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1163_240033&category=dirSer	정성택(鄭成澤)	1163	G002+AKS-KHF_13C815C131D0DDU9999X0
49	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1164_240034&category=dirSer	김모직(金謀直)	1164	G002+AKS-KHF_13AE40BAA8C9C1U9999X0
50	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1165_240035&category=dirSer	김등(金縢)	1165	G002+AKS-KHF_12AE40B4F1FFFFU9999X0
51	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1165_240036&category=dirSer	■■■(■■■)	1165	_
52	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1167_240037&category=dirSer	민식(閔湜)	1167	G002+AKS-KHF_12BBFCC2DDFFFFD1201X0
53	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1168_240038&category=dirSer	왕광순(王光純)	1168	G002+AKS-KHF_13C655AD11C21CU9999X0
54	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1169_240039&category=dirSer	임정(林廷)	1169	G002+AKS-KHF_12C784C815FFFFU9999X0
55	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1171_240040&category=dirSer	이희우(李希祐)	1171	G002+AKS-KHF_13C774D76CC6B0U9999X0
56	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1171_240041&category=dirSer	이세경(李世卿)	1171	G002+AKS-KHF_13C774C138ACBDU9999X1
57	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1172_240043&category=dirSer	김광조(金光祖)	1172	G002+AKS-KHF_13AE40AD11C870U9999X1
58	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1172_230042&category=dirSer	이명학(李鳴鶴)	1172	G002+AKS-KHF_13C774BA85D559U9999X0
59	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1173_240044&category=dirSer	김징위(金徵魏)	1173	G002+AKS-KHF_13AE40C9D5C704U9999X0
60	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1173_240045&category=dirSer	이자우(李滋祐)	1173	G002+AKS-KHF_13C774C790C6B0U9999X0
61	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1175_240046&category=dirSer	승구원(承丘源)	1175	G002+AKS-KHF_13C2B9AD6CC6D0U9999X0
62	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1175_240047&category=dirSer	방희진(方希進)	1175	G002+AKS-KHF_13BC29D76CC9C4U9999X0
63	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1176_240049&category=dirSer	이진승(李晉升)	1176	G002+AKS-KHF_13C774C9C4C2B9U9999X0
64	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1176_240050&category=dirSer	정세준(鄭世俊)	1176	G002+AKS-KHF_13C815C138C900U9999X0
65	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1176_230048&category=dirSer	황보항(皇甫沆)	1176	G002+AKS-KHF_13D669BCF4D56DU9999X0
66	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1177_240051&category=dirSer	박돈장(朴敦章)	1177	G002+AKS-KHF_13BC15B3C8C7A5U9999X0
67	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1177_240052&category=dirSer	김각장(金角章)	1177	G002+AKS-KHF_13AE40AC01C7A5U9999X0
68	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1178_230053&category=dirSer	고득일(高得一)	1178	G002+AKS-KHF_13ACE0B4DDC77CU9999X0
69	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1179_240054&category=dirSer	이척고(李陟高)	1179	G002+AKS-KHF_13C774CC99ACE0U9999X0
70	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1180_230055&category=dirSer	박중장(朴仲臧)	1180	G002+AKS-KHF_13BC15C911C7A5U9999X0
71	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1181_240056&category=dirSer	홍영식(洪永植)	1181	G002+AKS-KHF_13D64DC601C2DDB1820X0
72	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1183_240057&category=dirSer	오몽림(吳夢霖)	1183	G002+AKS-KHF_13C624BABDB9BCU9999X0
73	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1183_240058&category=dirSer	김우(金瑀)	1183	G002+AKS-KHF_12AE40C6B0FFFFB1748X0
74	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1185_240059&category=dirSer	최문목(崔文牧)	1185	G002+AKS-KHF_13CD5CBB38BAA9U9999X0
75	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1185_240060&category=dirSer	정광우(丁光祐)	1185	G002+AKS-KHF_13C815AD11C6B0U9999X1
76	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1186_240061&category=dirSer	양공준(梁公俊)	1186	G002+AKS-KHF_13C591ACF5C900U9999X1
77	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1187_240062&category=dirSer	지종준(池宗濬)	1187	G002+AKS-KHF_13C9C0C885C900U9999X0
78	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1189_240063&category=dirSer	정수강(鄭守剛)	1189	G002+AKS-KHF_13C815C218AC15U9999X0
79	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1189_240064&category=dirSer	이규보(李奎報)	1189	G002+AKS-KHF_13C774ADDCBCF4B1168X0
80	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1189_240065&category=dirSer	오천유(吳闡猷)	1189	G002+AKS-KHF_13C624CC9CC720B1168X0
81	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1190_230065&category=dirSer	안사기(安社基)	1190	G002+AKS-KHF_13C548C0ACAE30U9999X0
82	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1191_240066&category=dirSer	홍경(洪儆)	1191	G002+AKS-KHF_12D64DACBDFFFFB1695X0
83	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1192_230067&category=dirSer	이중함(李仲諴)	1192	G002+AKS-KHF_13C774C911D568U9999X0
84	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1195_240068&category=dirSer	신서(申叙)	1195	G002+AKS-KHF_12C2E0C11CFFFFU9999X0
85	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1195_240069&category=dirSer	이응분(李膺賁)	1195	G002+AKS-KHF_13C774C751BD84U9999X0
86	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1197_240070&category=dirSer	■■■(■■■)	1197	_
87	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1198_240071&category=dirSer	지대성(智大成)	1198	G002+AKS-KHF_13C9C0B300C131U9999X0
88	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1198_240072&category=dirSer	단세유(段世儒)	1198	G002+AKS-KHF_13B2E8C138C720U9999X0
89	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1198_240081&category=dirSer	백분화(白賁華)	1198	G002+AKS-KHF_13BC31BD84D654B1180X0
90	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1199_240073&category=dirSer	육영의(陸永儀)	1199	G002+AKS-KHF_13C721C601C758U9999X0
91	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1199_240074&category=dirSer	이당인(李唐仁)	1199	G002+AKS-KHF_13C774B2F9C778U9999X0
92	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1200_240075&category=dirSer	진화(陳澕)	1200	G002+AKS-KHF_12C9C4D654FFFFU9999X1
93	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1200_240076&category=dirSer	노원규(魯元規)	1200	G002+AKS-KHF_13B178C6D0ADDCU9999X0
94	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1201_240077&category=dirSer	정공찰(鄭公札)	1201	G002+AKS-KHF_13C815ACF5CC30U9999X0
95	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1201_240078&category=dirSer	박유필(朴維弼)	1201	G002+AKS-KHF_13BC15C720D544U9999X0
96	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1202_240080&category=dirSer	진양윤(秦陽胤)	1202	G002+AKS-KHF_13C9C4C591C724U9999X0
97	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1202_240081&category=dirSer	송함(宋咸)	1202	G002+AKS-KHF_12C1A1D568FFFFU9999X1
98	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1202_230079&category=dirSer	최천우(崔天祐)	1202	G002+AKS-KHF_13CD5CCC9CC6B0U9999X0
99	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1203_240082&category=dirSer	김명여(金命予)	1203	G002+AKS-KHF_13AE40BA85C5ECU9999X0
100	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1203_240083&category=dirSer	이세흥(李世興)	1203	G002+AKS-KHF_13C774C138D765U9999X1
101	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1204_230084&category=dirSer	정승조(鄭丞祖)	1204	G002+AKS-KHF_13C815C2B9C870U9999X1
102	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1205_240085&category=dirSer	이위(李葳)	1205	G002+AKS-KHF_12C774C704FFFFU9999X6
103	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1207_240086&category=dirSer	김남석(金南石)	1207	G002+AKS-KHF_13AE40B0A8C11DU9999X0
104	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1207_240087&category=dirSer	권시위(權時偉)	1207	G002+AKS-KHF_13AD8CC2DCC704U9999X0
105	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1209_240088&category=dirSer	추영수(秋永壽)	1209	G002+AKS-KHF_13CD94C601C218U9999X0
106	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1209_240089&category=dirSer	신계백(申季伯)	1209	G002+AKS-KHF_13C2E0ACC4BC31U9999X0
107	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1211_240090&category=dirSer	정종서(鄭宗諝)	1211	G002+AKS-KHF_12C815C9C0FFFFD1264X0
